,date,team_1,team_2,win_1,win_2
451,2011-08-27,COL,CRC,True,False
452,2011-08-27,VEN,PER,True,False
453,2011-09-03,NOR,SWE,False,True
454,2011-09-09,NZL,TGA,True,False
455,2011-09-10,SCO,ROU,True,False
456,2011-09-10,FIJ,NAM,True,False
457,2011-09-10,FRA,JPN,True,False
458,2011-09-10,ARG,ENG,False,True
459,2011-09-11,RSA,WAL,True,False
460,2011-09-11,AUS,ITA,True,False
461,2011-09-11,IRE,USA,True,False
462,2011-09-14,SAM,NAM,True,False
463,2011-09-14,TGA,CAN,False,True
464,2011-09-14,SCO,GEO,True,False
465,2011-09-15,RUS,USA,False,True
466,2011-09-16,NZL,JPN,True,False
467,2011-09-17,RSA,FIJ,True,False
468,2011-09-17,ARG,ROU,True,False
469,2011-09-17,AUS,IRE,False,True
470,2011-09-18,ENG,GEO,True,False
471,2011-09-18,FRA,CAN,True,False
472,2011-09-18,WAL,SAM,True,False
473,2011-09-20,ITA,RUS,True,False
474,2011-09-21,TGA,JPN,True,False
475,2011-09-22,RSA,NAM,True,False
476,2011-09-23,AUS,USA,True,False
477,2011-09-24,ENG,ROU,True,False
478,2011-09-24,NZL,FRA,True,False
479,2011-09-25,FIJ,SAM,False,True
480,2011-09-25,IRE,RUS,True,False
481,2011-09-25,ARG,SCO,True,False
482,2011-09-26,WAL,NAM,True,False
483,2011-09-27,ITA,USA,True,False
484,2011-09-28,GEO,ROU,True,False
485,2011-09-30,RSA,SAM,True,False
486,2011-10-01,AUS,RUS,True,False
487,2011-10-01,FRA,TGA,False,True
488,2011-10-01,ENG,SCO,True,False
489,2011-10-02,ARG,GEO,True,False
490,2011-10-02,NZL,CAN,True,False
491,2011-10-02,WAL,FIJ,True,False
492,2011-10-02,IRE,ITA,True,False
493,2011-10-08,IRE,WAL,False,True
494,2011-10-08,ENG,FRA,False,True
495,2011-10-08,CYP,LUX,True,False
496,2011-10-09,RSA,AUS,False,True
497,2011-10-09,NZL,ARG,True,False
498,2011-10-14,RWA,BDI,True,False
499,2011-10-15,WAL,FRA,False,True
500,2011-10-15,DEN,NOR,True,False
501,2011-10-15,SVK,BIH,False,True
502,2011-10-15,POL,CZE,True,False
503,2011-10-16,AUS,NZL,False,True
504,2011-10-21,WAL,AUS,False,True
505,2011-10-22,BUL,LUX,True,False
506,2011-10-22,AUT,ISR,False,True
507,2011-10-23,FRA,NZL,False,True
508,2011-10-29,SWE,CRO,True,False
509,2011-10-29,SRB,SLO,True,False
510,2011-10-29,HUN,DEN,False,True
511,2011-10-29,ISR,NOR,True,False
512,2011-10-29,LAT,MLT,False,True
513,2011-11-05,GRE,BUL,True,False
514,2011-11-05,MLT,LTU,True,False
515,2011-11-05,CRO,LAT,True,False
516,2011-11-05,BEL,CZE,True,False
517,2011-11-05,AUT,HUN,True,False
518,2011-11-12,SLO,AND,False,True
519,2011-11-12,GER,NED,True,False
520,2011-11-12,KEN,TUN,True,False
521,2011-11-12,SUI,SRB,True,False
522,2011-11-12,GRE,FIN,True,False
523,2011-11-13,POR,URU,False,True
524,2011-11-19,CZE,NED,True,False
